SalePrice,Area,Price/m2,Width,Length,Location
4150.0,137.0,30.29,5.0,26.0,quan cam le
2850.0,100.0,28.5,5.0,20.0,quan ngu hanh son
2400.0,100.0,24.0,10.0,20.0,quan ngu hanh son
3560.0,120.0,29.67,10.0,20.0,quan lien chieu
3280.0,100.0,32.8,5.0,20.0,quan cam le
11800.0,102.6,115.69,5.4,19.0,quan son tra
2600.0,78.0,33.33,5.6,13.2,quan son tra
2440.0,100.0,24.4,5.0,20.0,quan cam le
2600.0,75.0,34.67,5.0,25.0,quan lien chieu
3550.0,125.0,28.4,5.0,25.0,quan ngu hanh son
4050.0,100.0,40.5,5.0,20.0,quan cam le
2950.0,100.0,29.5,5.0,20.0,quan ngu hanh son
4800.0,100.0,48.0,5.0,20.0,quan son tra
3200.0,352.0,9.09,9.4,36.5,huyen hoa vang
2550.0,90.0,28.33,4.5,20.0,quan lien chieu
720.0,132.0,5.45,5.0,27.0,huyen hoa vang
720.0,130.0,5.54,5.0,26.0,huyen hoa vang
2800.0,80.0,35.0,5.25,14.0,quan cam le
7000.0,160.0,43.75,10.0,16.0,quan son tra
2200.0,150.0,14.67,6.0,22.0,huyen hoa vang
1000.0,125.0,8.0,5.0,25.0,huyen hoa vang
2500.0,100.0,25.0,5.0,20.0,quan ngu hanh son
3300.0,100.0,33.0,5.0,20.0,quan cam le
2900.0,90.0,32.22,5.0,18.0,quan lien chieu
3600.0,125.0,28.8,5.0,25.0,quan lien chieu
2050.0,68.0,30.15,4.5,15.0,quan lien chieu
2750.0,90.6,30.56,5.0,18.0,quan lien chieu
1370.0,70.0,19.57,5.0,14.0,quan lien chieu
3950.0,112.0,35.27,5.0,22.0,quan lien chieu
1800.0,100.0,18.0,5.0,20.0,quan lien chieu
2750.0,106.7,25.94,5.68,20.0,quan cam le
2180.0,62.0,35.16,6.0,20.0,quan thanh khe
1850.0,100.0,18.5,6.0,20.0,huyen hoa vang
1250.0,200.0,6.25,10.0,20.0,huyen hoa vang
2400.0,100.0,24.0,5.0,20.0,quan cam le
3400.0,41.0,82.93,10.0,29.5,quan thanh khe
2700.0,105.0,25.71,5.0,20.0,quan ngu hanh son
3100.0,110.0,28.18,5.0,22.0,quan cam le
2050.0,80.0,25.63,7.0,22.0,quan lien chieu
2450.0,90.0,27.22,5.0,25.0,quan cam le
3650.0,100.0,36.5,5.0,20.0,quan cam le
2880.0,105.0,27.43,5.0,21.0,quan ngu hanh son
3520.0,100.0,35.2,5.0,20.0,quan cam le
3300.0,100.0,33.0,5.0,20.0,quan cam le
1490.0,71.0,20.99,5.0,20.0,quan lien chieu
1250.0,140.0,8.93,5.0,28.0,huyen hoa vang
4150.0,100.0,41.5,5.0,20.0,quan cam le
3350.0,90.0,37.22,5.0,18.0,quan lien chieu
2790.0,152.0,18.36,8.0,19.0,quan ngu hanh son
4050.0,115.0,35.22,5.0,23.0,quan cam le
2830.0,77.0,36.75,5.0,15.0,quan lien chieu
1500.0,60.0,25.0,3.0,20.0,quan lien chieu
2900.0,100.0,29.0,5.0,20.0,quan cam le
1400.0,100.0,14.0,5.0,20.0,quan ngu hanh son
3300.0,100.0,33.0,5.0,20.0,quan cam le
2850.0,84.1,33.93,4.2,18.0,quan lien chieu
2434.0,100.0,24.34,5.0,20.0,quan ngu hanh son
4050.0,100.0,40.5,5.0,20.0,quan cam le
4050.0,100.0,40.5,5.0,20.0,quan cam le
3450.0,100.0,34.5,5.0,20.0,quan cam le
2816.0,100.0,34.5,5.0,20.0,quan cam le
13500.0,160.0,84.38,10.0,16.0,quan son tra
2600.0,100.0,26.0,5.0,20.0,quan cam le
3050.0,110.0,27.73,5.0,22.0,quan cam le
2250.0,87.3,25.86,4.5,20.0,quan ngu hanh son
2420.0,100.0,24.2,5.0,20.0,quan ngu hanh son
1800.0,210.0,8.57,13.0,16.0,huyen hoa vang
2000.0,60.0,33.33,13.0,16.0,quan son tra
2300.0,90.0,25.56,5.0,18.0,quan ngu hanh son
3800.0,100.0,38.0,6.0,20.0,quan thanh khe
1680.0,51.0,32.94,5.0,10.2,quan thanh khe
15000.0,135.0,111.11,6.0,23.0,quan son tra
3320.0,65.0,51.08,3.0,18.0,quan son tra
3350.0,80.5,41.88,4.0,20.0,quan lien chieu
2270.0,97.0,23.4,5.5,17.0,quan lien chieu
2200.0,81.0,27.16,4.0,17.0,quan cam le
2960.0,100.0,29.6,5.0,20.0,quan cam le
3200.0,105.0,30.476190476190474,5.0,21.0,quan ngu hanh son
1763.0,125.0,14.1,5.0,21.0,quan ngu hanh son
3450.0,100.0,34.5,5.0,20.0,quan cam le
2050.0,100.0,20.5,5.0,20.0,quan lien chieu
2600.0,100.0,26.0,5.0,20.0,quan cam le
2200.0,97.0,22.68,5.0,20.0,quan ngu hanh son
3750.0,89.0,42.13,5.0,20.0,quan thanh khe
1450.0,100.0,14.5,5.0,20.0,huyen hoa vang
2900.0,110.0,26.36,5.0,22.0,quan ngu hanh son
2450.0,100.0,24.5,5.0,20.0,quan cam le
2020.0,100.0,20.2,5.0,20.0,quan lien chieu
2150.0,100.0,21.5,5.0,20.0,quan ngu hanh son
2400.0,62.0,38.71,4.2,15.5,quan son tra
2850.0,74.0,38.51,4.2,15.5,quan lien chieu
2900.0,108.0,26.85,6.0,18.0,quan ngu hanh son
2820.0,72.0,39.17,6.0,18.0,quan lien chieu
2000.0,100.0,20.0,6.0,18.0,quan lien chieu
525.0,144.0,3.65,5.0,29.0,huyen hoa vang
2200.0,147.0,14.97,8.0,20.0,quan ngu hanh son
3300.0,100.0,33.0,5.0,20.0,quan cam le
1050.0,120.0,8.75,6.0,20.0,huyen hoa vang
4000.0,90.0,44.44,5.0,20.0,quan son tra
4400.0,100.0,44.0,5.0,20.0,quan cam le
3990.0,99.0,40.3,5.0,20.0,quan ngu hanh son
698.0,170.0,4.11,5.3,32.0,huyen hoa vang
3400.0,100.0,34.0,5.0,20.0,quan cam le
4050.0,100.0,40.5,5.0,20.0,quan cam le
4500.0,100.0,45.0,5.0,20.0,quan cam le
