SalePrice,Area,Price/m2,Width,Length,Location
3150.0,100,31.5,5,20,quan cam le
2100.0,90,23.33,5,18,quan lien chieu
1630.0,40,40.75,4.12,9.5,quan thanh khe
2600.0,100,26.0,5,20,quan cam le
2300.0,100,23.0,,,quan cam le
26000.0,195.2,133.33,11.5,17,quan son tra
3280.0,115,28.52,5,21,quan cam le
2600.0,75,34.67,5,15,quan lien chieu
1450.0,60,24.17,4,15,quan ngu hanh son
370.0,858,0.00043123500000000003,4,15,huyen hoa vang
2350.0,100,23.5,4,15,huyen hoa vang
1638.0,125,13.1,5,25,quan ngu hanh son
7500.0,205,36.59,8.8,24,quan cam le
4350.0,110,39.55,7,15,quan ngu hanh son
700.0,128,5.47,7,15,huyen hoa vang
1987.2,120,16.56,6,20,quan ngu hanh son
2550.0,145,17.59,5,28.7,quan ngu hanh son
1950.0,94.5,20.74,4.5,21,quan cam le
14000.0,170,82.35,6,28.5,quan hai chau
5100.0,102.8,50.0,5,20.52,quan cam le
1550.0,70,22.14,5,20.52,quan lien chieu
3650.0,101,36.14,5,20,quan cam le
3550.0,100,35.5,5,20,quan cam le
2280.0,100,22.8,5,20,quan lien chieu
2170.0,125,17.36,,,quan lien chieu
2900.0,105,27.62,21,5,quan ngu hanh son
1720.0,60,28.67,3,20,quan thanh khe
2650.0,100,26.5,5,20,quan cam le
2000.0,60,33.33,4,15,quan ngu hanh son
1050.0,2000,0.000525,40,50,huyen hoa vang
100.0,100,1.0,40,50,quan ngu hanh son
2050.0,100,20.5,5,20,quan lien chieu
3800.0,102,37.25,5,21,quan ngu hanh son
1700.0,105,16.19,5,21,quan ngu hanh son
560.0,170,3.29,6,26,huyen hoa vang
100.0,105,0.00095238,21,5,quan ngu hanh son
1550.0,60,25.83,21,5,quan lien chieu
2970.0,100,29.7,5,20,quan ngu hanh son
2200.0,49,44.9,5,20,quan thanh khe
3.28,97,3.3814e-05,5,19,quan cam le
589.0,120,4.91,6,20,huyen hoa vang
2650.0,100,26.5,5,20,quan ngu hanh son
2900.0,105,27.62,5,21,quan lien chieu
1450.0,80,18.13,5,21,quan cam le
2550.0,102,25.0,5,21,quan lien chieu
6800.0,240,28.33,10,24,quan cam le
1200.0,375,3.2,10,37,huyen hoa vang
800.0,120,6.67,6,20,quan lien chieu
1980.213,100,19.8,5,20,huyen hoa vang
5700.0,145.5,39.31,6,23,quan cam le
2050.0,100,20.5,5,23,quan lien chieu
4200.0,120,35.0,4.59,26.5,quan ngu hanh son
3900.0,100,39.0,4.59,26.5,quan lien chieu
2350.0,45.7,52.22,5,9.2,quan hai chau
3550.0,106,33.49,6,18,quan ngu hanh son
2550.0,100,25.5,5,20,quan lien chieu
2817.0,147,19.16,7.8,20,quan son tra
800.0,120,6.67,6,20,quan cam le
22500.0,347.2,64.84,14,26,quan cam le
3600.0,125,28.8,5,25,quan lien chieu
1850.0,72,25.69,9.92,7.3,quan cam le
7300.0,125,58.4,9.92,7.3,quan lien chieu
2950.0,100,29.5,5,20,quan cam le
2230.0,100,22.3,5,20,huyen hoa vang
3350.0,100,33.5,5,20,quan cam le
2029.9999999999998,120,16.92,6,20,quan ngu hanh son
3650.0,102,35.78,5,21,quan cam le
1900.0,100,19.0,5,25,quan lien chieu
4150.0,75,55.33,5,15,quan son tra
5700.0,107.5,53.27,5,21.5,quan cam le
10500.0,267,39.33,5,21.5,quan cam le
800.0,120,6.67,6,20,quan lien chieu
10100.0,300,33.67,12,25,quan cam le
3150.0,187.5,16.84,7.5,25,quan lien chieu
800.0,1200,0.000666666,50,20,huyen hoa vang
1050.0,161,6.52,50,20,huyen hoa vang
15500.0,300,51.67,15,20,quan ngu hanh son
3300.0,100,33.0,5,20,quan cam le
2750.0,100,27.5,5,20,quan lien chieu
7900.0,109,72.48,5,21,quan thanh khe
2816.0,147,19.16,7.7,20,quan cam le
2350.0,98,23.98,7,14,quan lien chieu
1500.0,505,2.97,14,36,huyen hoa vang
4150.0,88,47.16,6,15,quan lien chieu
1300.0,240,5.42,6,39,huyen hoa vang
1240.0,84,14.76,6,14,quan cam le
530.0,120,4.42,5,25,huyen hoa vang
410.0,155,2.65,5,31,huyen hoa vang
4550.0,84,54.17,5,16,quan lien chieu
790.0,130,6.08,6,23,huyen hoa vang
4000.0,132,30.3,7,17,quan ngu hanh son
4200.0,88,47.73,6,15,quan lien chieu
3450.0,100,34.5,5,20,quan cam le
3000.0,100,30.0,5,20,quan ngu hanh son
1320.0,120.6,11.0,5.02,24,huyen hoa vang
6650.0,147,45.24,7.2,21.5,quan cam le
2250.0,76.5,29.61,4.5,17,quan lien chieu
4500.0,100,45.0,5,20,quan son tra
1480.0,153.2,9.67,7.9,20,huyen hoa vang
50000.0,250,200.0,7.9,20,quan ngu hanh son
2550.0,100,25.5,5,20,quan lien chieu
3700.0,156,23.72,5,20,quan cam le
2250.0,76,29.61,5,16,quan thanh khe
1400.0,150,9.33,5,16,huyen hoa vang
2500.0,90,27.78,5,18,quan lien chieu
1950.0,100,19.5,5,20,quan lien chieu
1440.0,122,11.8,5,22,quan lien chieu
8500.0,90,94.44,5,22,quan son tra
2950.0,100,29.5,5,20,quan ngu hanh son
1590.0,95.2,16.74,7.4,14.5,quan lien chieu
123.46,100,1.23,7.4,14.5,quan son tra
2550.0,90,28.33,4.5,14.5,quan lien chieu
2350.0,50,47.0,6,8,quan son tra
6200.0,125,49.6,5,25,quan lien chieu
2100.0,100,21.0,5,20,quan lien chieu
4150.0,79.2,52.53,4,20,quan thanh khe
2250.0,7,321.43,97,14,quan lien chieu
650.0,10000,6.5e-05,97,14,huyen hoa vang
2050.0,62,33.06,97,14,quan thanh khe
560.0,100,5.6,5,20,huyen hoa vang
16.0,95,0.000168421,7,14,quan lien chieu
290.0,84,3.45,6,14,quan lien chieu
2380.0,100,23.8,5,20,quan cam le
410.0,140,2.93,5,28,huyen hoa vang
2500.0,100,25.0,5,20,quan cam le
2500.0,105,23.81,5,20,quan lien chieu
2.18,61.3,3.5737e-05,6.1,12,quan thanh khe
8000.0,66,121.21,4.4,15,quan son tra
3800.0,145,26.21,10,14.5,quan lien chieu
2050.0,67.5,30.6,4.5,14.5,quan lien chieu
3520.0,100,35.2,5,20,quan cam le
1900.0,147,12.93,5,29,quan ngu hanh son
900.0,403,2.23,40,40,huyen hoa vang
12500.0,200,62.5,10,20,quan cam le
400.0,50,8e-06,10,20,quan cam le
123.46,85,1.45,10,20,quan son tra
2000.0,170,11.76,7,24,quan ngu hanh son
1900.0,100,19.0,7,24,quan lien chieu
3620.0,300,12.07,6,50,quan cam le
4700.0,100,47.0,5,20,quan ngu hanh son
2850.0,77.5,37.01,4.25,20,quan lien chieu
2600.0,75,34.67,5,20,quan lien chieu
3220.0,110,29.27,5,22,quan lien chieu
1120.0,120,9.33,7,22,huyen hoa vang
1180.0,125,9.44,5,25,huyen hoa vang
520.0,100,5.2,5,20,huyen hoa vang
2000.0,60,33.33,5,20,quan son tra
2550.0,90,28.33,5,20,quan lien chieu
2900.0,100,29.0,5,20,quan ngu hanh son
2050.0,100,20.5,5,20,quan lien chieu
1200.0,104,11.54,5.4,20,huyen hoa vang
2300.0,100,23.0,5,20,quan ngu hanh son
1850.0,72,25.69,9,8,quan cam le
1400.0,100,14.0,9,8,quan ngu hanh son
2850.0,72,39.58,9,8,quan lien chieu
3900.0,145,26.9,10,15,quan lien chieu
2575.0,87,29.6,5,17,quan ngu hanh son
2050.0,80,25.63,6,17,quan lien chieu
1200.0,100,12.0,6.5,15,quan cam le
2500.0,693,3.61,26,27,huyen hoa vang
4950.0,94.5,52.66,4.5,21,quan lien chieu
2350.0,85,27.65,4,20,quan cam le
6000.0,92,65.22,5,18,quan cam le
2650.0,90,29.44,5,18,quan lien chieu
4300.0,141,30.5,4.93,26.2,quan son tra
525.0,170,3.09,5.3,32,huyen hoa vang
15000.0,200,75.0,50,40,quan lien chieu
4000.0,145,27.59,8,16,quan ngu hanh son
2350.0,103,22.82,8,16,quan ngu hanh son
3100.0,81,38.27,4.5,18,quan lien chieu
4650.0,100,46.5,5,20,quan ngu hanh son
1700.0,100,17.0,5,20,huyen hoa vang
1500.0,1234,1.22,5,20,quan ngu hanh son
1350.0,212,6.37,8,27,huyen hoa vang
3450.0,100,34.5,5,27,quan cam le
